,Numéro de mesure,Longitude,Latitude,Position,Insee,Adresse,Complément,Code postal,Commune,Date de mesure,Mesure réalisée,Rapport,Conformité de la mesure,Niveau_global,Type d'environnement,Laboratoire,target
20,3046,3.2286099999999998,43.36306,"03° 13' 43.00'' Est, 43° 21' 47.00'' Nord",34032,Réservoir d'eau,MESURE FACE AU RESERVOIR DEVANT GRILLAGE MAISON,34500,BEZIERS,13/05/2003,En extérieur,FicheMesure3046.pdf,Oui,0.0,Rue / Route / Parking,BUREAU VERITAS,1
21,3047,3.22917,43.36222,"03° 13' 45.00'' Est, 43° 21' 44.00'' Nord",34032,Impasse Chaim Soudine,MESURE IMPASSE CHAIM SOUDINE AU BOUT DE L IMPASSE,34500,BEZIERS,13/05/2003,En extérieur,FicheMesure3047.pdf,Oui,0.0,Rue / Route / Parking,BUREAU VERITAS,1
22,3261,3.47833,43.30778,"03° 28' 42.00'' Est, 43° 18' 28.00'' Nord",34003,2 Boulevard du Soleil,Dans la cour de récréation de l'école A. Camus.,34300,AGDE,14/01/2004,En extérieur,FicheMesure3261.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
23,3263,3.4775,43.3075,"03° 28' 39.00'' Est, 43° 18' 27.00'' Nord",34003,2 Boulevard du Soleil,Devant l'entrée de l'école A. Camus.,34300,AGDE,14/01/2004,En extérieur,FicheMesure3263.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
24,3309,3.79389,43.48944,"03° 47' 38.00'' Est, 43° 29' 22.00'' Nord",34333,Rue Rocagnas,Ecole  Maternelle de Vic la Gardiole,34110,VIC-LA-GARDIOLE,17/09/2003,En extérieur,FicheMesure3309.pdf,Oui,0.95,Rue / Route / Parking,BUREAU VERITAS,1
25,3310,3.79389,43.48944,"03° 47' 38.00'' Est, 43° 29' 22.00'' Nord",34333,Rue Rocagnas,Ecole  Maternelle de Vic la Gardiole,34110,VIC-LA-GARDIOLE,17/09/2003,En extérieur,FicheMesure3310.pdf,Oui,0.95,Rue / Route / Parking,BUREAU VERITAS,1
26,3876,3.8113900000000003,43.64,"03° 48' 41.00'' Est, 43° 38' 24.00'' Nord",34172,"Quartier ""la Paillade""-Tour Tryton N°3",MESURE DEVANT ENTREE ECOLE,34080,MONTPELLIER,13/05/2003,En extérieur,FicheMesure3876.pdf,Oui,4.0,Rue / Route / Parking,BUREAU VERITAS,1
27,3877,3.8113900000000003,43.64,"03° 48' 41.00'' Est, 43° 38' 24.00'' Nord",34172,"Quartier ""La Paillade"" - Tour Triton N°3",MESURE DEVANT ENTREE ECOLE,34080,MONTPELLIER,13/05/2003,En extérieur,FicheMesure3877.pdf,Oui,0.0,Rue / Route / Parking,BUREAU VERITAS,1
28,3878,3.8111099999999998,43.64028,"03° 48' 40.00'' Est, 43° 38' 25.00'' Nord",34172,"Quartier ""La Paillade"" Tour Triton N°3",MESURE DEVANT ENTREE ECOLE,34080,MONTPELLIER,13/05/2003,En extérieur,FicheMesure3878.pdf,Oui,0.0,Rue / Route / Parking,BUREAU VERITAS,1
29,3879,3.81167,43.639720000000004,"03° 48' 42.00'' Est, 43° 38' 23.00'' Nord",34172,"Quartier ""La Paillade"" Tour Triton N°3",MESURE DEVANT ENTREE ECOLE,34080,MONTPELLIER,13/05/2003,En extérieur,FicheMesure3879.pdf,Oui,0.0,Rue / Route / Parking,BUREAU VERITAS,1
30,4467,3.90194,43.61861,"03° 54' 07.00'' Est, 43° 37' 07.00'' Nord",34172,47 Place Jules Valles,Trottoir de la villa N° 47 Place Jules Valles,34000,MONTPELLIER,25/06/2004,En extérieur,FicheMesure4467.pdf,Oui,1.39,Rue / Route / Parking,BUREAU VERITAS,1
31,4468,3.8375,43.60778,"03° 50' 15.00'' Est, 43° 36' 28.00'' Nord",34172,88 Rue Viollet Le Duc,Groupe scolaire La Martelle,34070,MONTPELLIER,09/07/2004,En extérieur,FicheMesure4468.pdf,Oui,3.06,Rue / Route / Parking,BUREAU VERITAS,1
32,4664,3.6772199999999997,43.39417,"03° 40' 38.00'' Est, 43° 23' 39.00'' Nord",34301,1 Place Edouard Hériot,Balcon de M. EMINET,34200,SETE,16/06/2004,En extérieur,FicheMesure4664.pdf,Oui,0.0,Divers,APAVE,1
33,4930,3.8738900000000003,43.611670000000004,"03° 52' 26.00'' Est, 43° 36' 42.00'' Nord",34172,Place Saint Pierre,Devant la faculté de médecine.,34000,MONTPELLIER,20/10/2004,En extérieur,FicheMesure4930.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
34,4931,3.83972,43.6175,"03° 50' 23.00'' Est, 43° 37' 03.00'' Nord",34172,703 Rue d'Alco,Devant le portail du groupe scolaire du Petit Bard.,34000,MONTPELLIER,19/10/2004,En extérieur,FicheMesure4931.pdf,Oui,1.38,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
35,4932,3.84,43.61694,"03° 50' 24.00'' Est, 43° 37' 01.00'' Nord",34172,Rue d'Alco,"A coté de l'arrêt de bus ""Paul Bringuier"".",34000,MONTPELLIER,19/10/2004,En extérieur,FicheMesure4932.pdf,Oui,1.11,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
36,4933,3.87583,43.6125,"03° 52' 33.00'' Est, 43° 36' 45.00'' Nord",34172,21 Rue de l'Aigrefeuille,Dans la partie haute du square de l'intendance du Languedoc.,34000,MONTPELLIER,20/10/2004,En extérieur,FicheMesure4933.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
37,4934,3.87583,43.61222,"03° 52' 33.00'' Est, 43° 36' 44.00'' Nord",34172,21 Rue de l'Aigrefeuille,Devant l'entrée de l'école Jean Jacques Rousseau.,34000,MONTPELLIER,20/10/2004,En extérieur,FicheMesure4934.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
38,4935,3.83889,43.617779999999996,"03° 50' 20.00'' Est, 43° 37' 04.00'' Nord",34172,Rue Rimbaud,Devant l'entrée de l'école maternelle G. BON.,34000,MONTPELLIER,19/10/2004,En extérieur,FicheMesure4935.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
39,4959,3.88194,43.59833,"03° 52' 55.00'' Est, 43° 35' 54.00'' Nord",34172,Impasse des Marmousets,Devant le portail de l'école maternelle S. Signoret.,34000,MONTPELLIER,20/10/2004,En extérieur,FicheMesure4959.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
40,4960,3.88389,43.59778,"03° 53' 02.00'' Est, 43° 35' 52.00'' Nord",34172,Rue des Marronniers,Devant l'entrée du collège G. Philippe.,34000,MONTPELLIER,20/10/2004,En extérieur,FicheMesure4960.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
41,4961,3.88361,43.59722,"03° 53' 01.00'' Est, 43° 35' 50.00'' Nord",34172,Rue des Marronniers,Devant les portails d'entrée du collège.,34000,MONTPELLIER,20/10/2004,En extérieur,FicheMesure4961.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
42,5002,3.4825,43.48361,"03° 28' 57.00'' Est, 43° 29' 01.00'' Nord",34162,15 Chemin de Cabanis,"Devant le portail d'entrée du N°15, sur le trottoir coté impair",34530,MONTAGNAC,20/10/2004,En extérieur,FicheMesure5002.pdf,Oui,1.15,Rue / Route / Parking,AEXPERTISE,1
43,5004,3.8825,43.60972,"03° 52' 57.00'' Est, 43° 36' 35.00'' Nord",34172,14 Avenue Frédéric Mistral,"Terrasse de Monsieur Savelli, 4éme étage",34000,MONTPELLIER,08/10/2004,En extérieur,FicheMesure5004.pdf,Oui,0.81,Divers,AEXPERTISE,1
44,5233,3.14111,43.3125,"03° 08' 28.00'' Est, 43° 18' 45.00'' Nord",34081,Rue des écoles,Ecole Maternelle et primaire de Colombiers,34440,COLOMBIERS,28/10/2004,En extérieur,FicheMesure5233.pdf,Oui,0.0,Rue / Route / Parking,BUREAU VERITAS - Marseille,1
45,5599,3.4852800000000004,43.3025,"03° 29' 07.00'' Est, 43° 18' 09.00'' Nord",34003,Boulevard Jean Moulin,"Collège Paul Emile Victor, à côté de l'entrée côté D32, route vers le Cap D'Agde.",34300,AGDE,19/01/2005,En extérieur,FicheMesure5599.pdf,Oui,1.54,Rue / Route / Parking,AEXPERTISE,1
46,5600,3.4836099999999997,43.31222,"03° 29' 01.00'' Est, 43° 18' 44.00'' Nord",34003,Rue Paul Balmigère,"Stade Louis Sanguin, entre le local technique de la ville d'Agde, et les terrains de tennis",34300,AGDE,19/01/2005,En extérieur,FicheMesure5600.pdf,Oui,0.85,Rue / Route / Parking,AEXPERTISE,1
47,5609,3.5133300000000003,43.283609999999996,"03° 30' 48.00'' Est, 43° 17' 01.00'' Nord",34003,Place de l'Agde Marine,Sur la place de l'Agde Marine.,34300,AGDE,31/01/2005,En extérieur,FicheMesure5609.pdf,Oui,0.6,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
48,5610,3.5133300000000003,43.284440000000004,"03° 30' 48.00'' Est, 43° 17' 04.00'' Nord",34003,Place A. Bertrand,Sur une place de parking de la place A. Bertrand.,34300,AGDE,31/01/2005,En extérieur,FicheMesure5610.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
49,5611,3.5147199999999996,43.28417,"03° 30' 53.00'' Est, 43° 17' 03.00'' Nord",34003,Rue des Sergents,Sur le parvis de l'annexe de la mairie.,34300,AGDE,31/01/2005,En extérieur,FicheMesure5611.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
50,5621,3.87972,43.75806,"03° 52' 47.00'' Est, 43° 45' 29.00'' Nord",34276,Les Avants,"Au pied du pylône, les Avants.",34270,SAINT-MATHIEU-DE-TREVIERS,01/02/2005,En extérieur,FicheMesure5621.pdf,Oui,0.58,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
51,5622,3.88056,43.759170000000005,"03° 52' 50.00'' Est, 43° 45' 33.00'' Nord",34276,12 Rue des Dryades,"Devant le n°12, les Dryades.",34270,SAINT-MATHIEU-DE-TREVIERS,01/02/2005,En extérieur,FicheMesure5622.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
